file_name,program_name,start_time,end_time,transcription,start_time_ms,end_time_ms,avg_confidence
00000.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,0.66,7.65,طبعًا بما إننا دلوقتي بن عيش أحداث كأس العالم ودائمًا كأس العالم مرتبط مع الناس بذكريات كثيرة اوي وفيه قصص كثيرة,660,7650,0.99
00001.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,7.65,14.43,مشهورة بس أنا عندي قصة كانت في 1990 تحديدًا في تصفيات كأس العالم 1990 كان فيه,7650,14430,0.97
00002.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,15.24,27.09,ما بين البرازيل وتشيلي وكان المفروض اللي يفوز في المباراة هذه يتأهل لكأس العالم، المباراة الأولى خلصت في تشيلي واحد واحد ولما جاء موعد المباراة الثانية في البرازيل الإستاد طبعًا كان,15240,27090,0.95
00003.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,27.09,39.18,مليان والأجواء مشحونة والجماهير كانت متحمسة على الآخر فالمباراة ماشيه في صالح البرازيل وفي الدقيقة ستون تقريبًا ابتدأت الجم اهير تحتفل وبدأوا يرموا الألعاب النارية والصواريخ في الملعب وجت,27090,39180,0.99
00004.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,39.24,44.16,الدقيقة سبعة وستون تحديدًا وهذه الدقيقة اللي غيرت مجرى المباراة كلها,39240,44160,0.96
00005.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,47.1,61.95,اللي حصل إن حارس تشيلي كان اسمه روبيرتو روخاس فجأة وقع على الأرض ووجهه كله كان بينزل دم والناس كلها شافت المنظر، فطبعًا الطاقم الطبي جروا له والمدرب وكل الناس جريت عليه وفي اللحظة هذه لعيبة البرازيل,47100,61950,0.93
00006.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,65.16,75.51,لأن قوانين الفيفا بتقول إن لو فيه أي إعتداء من الجماهير على لعيب معين واللعيب هذا أصاب فعلى طول المباراة بتنتهي وبيفوز الفريق المتضرر فطبعًا,65160,75510,0.99
00007.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,75.51,81.42,لعيبة البرازيل خافت من الموقف هذا لأنها على أرضها وراح تنحرم من كأس العالم بس اللي أنقذ البرازيل تخيل مين؟,75510,81420,0.97
00008.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,82.74,88.59,مصور كان واقف ورا القول التشيلي وهو الوحيد اللي قدر يأخذ لقطة من ضمن أكثر من,82740,88590,0.99
00009.wav,أفضل لاعب بالعالم يغيب عن مونديال قطر.mp3,88.59,94.56,مئتان مصور، صور الحارس يمكن أكثر من خمسة عشر صورة واتضح إن الحارس في وقت الدخان,88590,94560,0.96
